îNåéì˙,éûçèÉRÅ[Éh,îÑÇËì¸éDó (kWh),îÉÇ¢ì¸éDó (kWh),ñÒíËëçó (kWh),ÉVÉXÉeÉÄÉvÉâÉCÉX(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåñk(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåãû(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜïî(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkó§(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXä÷êº(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXélçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXã„èB(â~/kWh),,ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøè„å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøâ∫å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøë¨ïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),ÉøämïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),,âÒîâ¬î\å¥âøëSçëíl(â~/kWh),âÒîâ¬î\å¥âøñkäCìπ(â~/kWh),âÒîâ¬î\å¥âøìåñk(â~/kWh),âÒîâ¬î\å¥âøìåãû(â~/kWh),âÒîâ¬î\å¥âøíÜïî(â~/kWh),âÒîâ¬î\å¥âøñkó§(â~/kWh),âÒîâ¬î\å¥âøä÷êº(â~/kWh),âÒîâ¬î\å¥âøíÜçë(â~/kWh),âÒîâ¬î\å¥âøélçë(â~/kWh),âÒîâ¬î\å¥âøã„èB(â~/kWh),,îÑÇËÉuÉçÉbÉNì¸éDëçó (kWh),îÑÇËÉuÉçÉbÉNñÒíËëçó (kWh),îÉÇ¢ÉuÉçÉbÉNì¸éDëçó (kWh),îÉÇ¢ÉuÉçÉbÉNñÒíËëçó (kWh),,FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjëSçëíl(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjñkäCìπ(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåñk(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåãû(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜïî(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjñkó§(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjä÷êº(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjélçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjã„èB(â~/kWh)
2021/04/01,36,23051300,19725700,15964100,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,,6.48,507.09,0.00,6.48,6.48,,6.48,6.48,6.47,6.48,6.48,6.48,6.48,6.48,6.48,6.48,,8469550,2393750,1037150,369350,,6.48,6.48,6.48,6.48,6.48,6.45,6.48,6.48,6.48,6.48
2021/04/01,37,23550000,20162750,16284050,6.73,7.00,7.00,7.00,6.47,6.47,6.47,6.47,6.47,6.47,,6.73,507.50,0.00,7.37,7.00,,6.73,7.00,7.03,7.00,6.47,6.47,6.45,6.47,6.47,6.47,,8685450,2555850,1077150,369850,,6.73,7.00,7.00,7.01,6.47,6.41,6.47,6.47,6.47,6.47
2021/04/01,38,23587100,20543550,16735900,6.73,7.00,7.00,7.00,6.52,6.52,6.52,6.52,6.52,6.52,,6.73,508.63,0.00,7.37,6.66,,6.73,7.00,7.03,7.00,6.52,6.52,6.52,6.52,6.52,6.52,,8773450,2853850,1089650,377850,,6.73,7.00,7.00,7.01,6.52,6.52,6.52,6.52,6.52,6.52
2021/04/01,39,23762800,20715450,16953400,6.57,7.06,7.06,7.06,6.52,6.52,6.52,6.52,6.52,6.52,,6.57,509.52,0.00,6.66,6.48,,6.57,7.06,7.06,7.06,6.52,6.53,6.52,6.52,6.52,6.52,,8852700,3074750,1130800,419000,,6.57,7.06,7.06,7.06,6.52,6.52,6.52,6.52,6.52,6.52
2021/04/01,40,23643300,20770550,16768900,7.06,7.37,7.37,7.37,6.73,6.73,6.73,6.73,6.73,6.73,,7.06,509.51,0.00,7.37,7.06,,7.06,7.37,7.37,7.37,6.73,6.72,6.73,6.73,6.73,6.73,,9246650,3284200,1165800,454000,,7.06,7.37,7.37,7.37,6.73,6.73,6.73,6.73,6.73,6.72
2021/04/01,41,23278000,20667900,16674950,7.37,7.37,7.37,7.37,7.11,7.11,7.11,7.11,7.11,7.11,,7.37,509.52,0.00,7.37,7.19,,7.37,7.37,7.37,7.37,7.10,7.28,7.11,7.10,7.11,7.12,,9528350,3567500,1216000,495050,,7.37,7.37,7.37,7.37,7.12,7.11,7.11,7.14,7.11,7.11
2021/04/01,42,23536650,20595550,16760350,7.19,7.37,7.37,7.37,6.73,6.73,6.73,6.73,6.73,6.73,,7.20,510.22,0.00,7.20,6.38,,7.20,7.37,7.36,7.37,6.73,7.24,6.73,6.73,6.73,6.73,,9804800,3774050,1192850,471900,,7.20,7.37,7.39,7.37,6.74,6.73,6.73,6.77,6.73,6.73
2021/04/01,43,23511800,20259200,16564700,7.13,7.19,7.19,7.19,6.76,6.76,6.76,6.76,6.76,6.76,,7.14,510.23,0.00,7.20,6.35,,7.14,7.19,7.19,7.19,6.76,7.23,6.76,6.76,6.76,6.77,,9912650,3725800,1117550,396600,,7.14,7.19,7.22,7.19,6.77,6.76,6.76,6.79,6.76,6.76
2021/04/01,44,23352950,19909450,16283300,6.37,6.66,6.66,6.66,6.34,6.34,6.34,6.34,6.34,5.63,,6.38,510.32,0.00,5.64,5.47,,6.38,6.66,6.66,6.66,6.30,6.89,6.35,6.34,6.34,5.63,,9879850,3689200,1045600,324650,,6.38,6.66,6.68,6.67,6.37,6.34,6.35,6.39,6.24,5.63
2021/04/01,45,22718150,19613750,16026100,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.63,,5.83,510.39,0.00,6.35,5.64,,5.83,5.83,5.82,5.82,5.82,6.24,5.82,5.83,5.82,5.63,,9546450,3629500,1065850,319900,,5.83,5.82,5.82,5.84,5.82,5.82,5.82,5.84,5.82,5.63
2021/04/01,46,22507400,19332900,16048300,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,,5.64,510.42,0.00,5.64,5.45,,5.64,5.64,5.64,5.63,5.63,6.22,5.64,5.63,5.63,5.63,,9232550,3636400,1082750,336800,,5.64,5.63,5.63,5.66,5.64,5.63,5.66,5.65,5.63,5.63
2021/04/01,47,21751750,18862100,15648900,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,,5.64,510.42,0.00,5.72,5.64,,5.64,5.64,5.64,5.63,5.63,6.22,5.64,5.63,5.63,5.63,,8638150,3559850,1001700,355750,,5.64,5.63,5.63,5.66,5.63,5.63,5.67,5.66,5.63,5.63
2021/04/01,48,20405400,18342950,15561000,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,,5.42,509.57,0.00,5.64,5.40,,5.42,5.42,5.41,5.41,5.41,5.85,5.41,5.41,5.41,5.41,,7181500,3420450,874750,328800,,5.42,5.41,5.41,5.42,5.41,5.41,5.44,5.45,5.41,5.41
2021/04/02,1,19120250,18648500,15969500,5.63,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.63,,5.63,503.15,0.00,5.68,5.63,,5.63,5.75,5.76,5.75,5.75,5.75,5.75,5.75,5.75,5.63,,6438900,3357900,1250850,830850,,5.63,5.75,5.75,5.75,5.75,5.75,5.76,5.73,5.75,5.63
2021/04/02,2,20075700,19320550,16454100,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,,5.54,503.76,0.00,5.63,5.63,,5.54,5.54,5.56,5.54,5.54,5.54,5.54,5.54,5.54,5.54,,6877550,3397100,1845700,1341100,,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54
2021/04/02,3,20996750,19478800,16554050,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,,5.43,505.21,0.00,5.43,5.43,,5.43,5.43,5.45,5.43,5.43,5.43,5.43,5.43,5.43,5.43,,7484750,3373450,2134250,1629600,,5.43,5.43,5.43,5.43,5.43,5.43,5.44,5.43,5.43,5.43
2021/04/02,4,21513550,19461350,16477550,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,,5.43,505.21,0.00,5.63,5.46,,5.43,5.43,5.45,5.43,5.43,5.43,5.43,5.43,5.43,5.43,,8084850,3326300,2223100,1718450,,5.43,5.43,5.43,5.43,5.43,5.43,5.44,5.43,5.43,5.43
2021/04/02,5,21619350,19436750,16550500,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,,5.51,505.22,0.00,5.63,5.51,,5.51,5.51,5.53,5.51,5.51,5.51,5.51,5.51,5.51,5.51,,8236000,3276100,2372050,1754450,,5.51,5.51,5.51,5.51,5.51,5.51,5.52,5.51,5.51,5.51
2021/04/02,6,21754400,19488900,16491850,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,,5.51,505.33,0.00,5.63,5.63,,5.51,5.51,5.53,5.51,5.51,5.51,5.51,5.51,5.51,5.51,,8377800,3224250,2455300,1758600,,5.51,5.51,5.51,5.51,5.51,5.51,5.52,5.51,5.51,5.51
2021/04/02,7,22018800,19498850,16529850,5.68,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,5.63,,5.68,505.21,0.00,6.37,6.40,,5.68,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,5.63,,8628100,3185250,2478400,1779450,,5.68,6.34,6.33,6.34,6.34,6.33,6.34,6.33,6.34,5.63
2021/04/02,8,22347550,19532700,16505100,5.77,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,5.63,,5.77,504.26,0.00,5.77,6.51,,5.77,6.22,6.23,6.22,6.22,6.22,6.22,6.22,6.22,5.63,,8688950,3145300,2472650,1773550,,5.77,6.22,6.21,6.22,6.22,6.21,6.22,6.21,6.22,5.63
2021/04/02,9,22804900,19390900,16407650,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.63,,5.73,505.33,0.00,5.73,5.73,,5.73,5.73,5.76,5.73,5.74,5.73,5.73,5.73,5.73,5.63,,8549400,2952200,2466400,1767250,,5.73,5.73,5.73,5.73,5.73,5.73,5.75,5.73,5.73,5.63
2021/04/02,10,22716050,19254650,16206700,5.63,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.63,,5.63,505.34,0.00,5.63,5.77,,5.63,5.73,5.76,5.73,5.73,5.73,5.73,5.73,5.73,5.63,,8388850,2686800,2463500,1764150,,5.63,5.73,5.73,5.73,5.73,5.73,5.75,5.73,5.73,5.63
2021/04/02,11,22641800,19214050,16079100,5.63,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10,5.63,,5.64,506.53,0.00,5.64,5.64,,5.64,6.10,6.11,6.10,6.12,6.10,6.10,6.10,6.10,5.63,,8264600,2429450,2466600,1767100,,5.64,6.10,6.09,6.10,6.10,6.09,6.12,6.09,6.10,5.63
